Название вакансии,Компания,Зарплата,Ссылка
Программист,ОАО Томское пиво,"125 000 – 150 000 ₽ за месяц, на руки
Опыт 1-3 года",https://tomsk.hh.ru/vacancy/120700864?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ООО Паритет,"от 80 000 ₽ за месяц, на руки
Опыт 1-3 года
Можно удалённо",https://tomsk.hh.ru/vacancy/120788257?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full-stack разработчик (программист фулстек),ООО Делу время,"Опыт 3-6 лет
Можно удалённо",https://tomsk.hh.ru/vacancy/120257329?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ОГКУ СМЭУ ТО,"45 000 ₽ за месяц, на руки
Без опыта
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/120607995?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1C (Стажер),Центр финансовых технологий,"Без опыта
Можно удалённо",https://tomsk.hh.ru/vacancy/120467633?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист (iris intersystems),ООО Софт Инжиниринг,"до 190 000 ₽ за месяц, на руки
Опыт 1-3 года
Можно удалённо
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/121196030?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист (С++, С#)",ООО СНК,"от 60 000 ₽ за месяц, на руки
Опыт 1-3 года",https://tomsk.hh.ru/vacancy/120949006?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++/Qt,Алабуга. Проектный менеджмент,"от 277 500 ₽ за месяц, до вычета налогов
Опыт 3-6 лет
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/121070003?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,АО Радар ММС,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/109848394?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО Научно-производственная фирма Микран,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/121071052?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-стажер 1C,Bellerage,Без опыта,https://tomsk.hh.ru/vacancy/120992604?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1 С,ООО Инвестстрой,"200 000 – 250 000 ₽ за месяц, на руки
Опыт 3-6 лет
Можно удалённо
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/121173543?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Лидерпак,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/120762212?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C/С++,Элекард,"до 150 000 ₽ за месяц, на руки
Опыт 1-3 года
Можно удалённо
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/115348795?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Гос. корп. ОГБУЗ Лоскутовская районная поликлиника,"45 000 – 50 000 ₽ за месяц, до вычета налогов
Без опыта",https://tomsk.hh.ru/vacancy/120508472?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++,ООО СИНЕКТА,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/120501760?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО Научно-производственная фирма Микран,"50 000 – 300 000 ₽ за месяц, на руки
Опыт 1-3 года",https://tomsk.hh.ru/vacancy/120228896?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (УТ),ООО МАГ Девелопмент,"Опыт 1-3 года
Можно удалённо",https://tomsk.hh.ru/vacancy/120064133?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"ЛАМА, Группа компаний",Опыт 1-3 года,https://tomsk.hh.ru/vacancy/110191921?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист / группа программного обеспечения,Газпром межрегионгаз,"66 000 – 78 000 ₽ за месяц, до вычета налогов
Опыт 1-3 года",https://tomsk.hh.ru/vacancy/121196731?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"Армада, группа компаний","от 90 000 ₽ за месяц, на руки
Опыт 1-3 года
Можно удалённо",https://tomsk.hh.ru/vacancy/120259114?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С,Латат,"до 54 000 ₽ за месяц, на руки
Опыт 1-3 года",https://tomsk.hh.ru/vacancy/120199110?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"Компания Водяной,ООО","Опыт 1-3 года
Можно удалённо",https://tomsk.hh.ru/vacancy/120705634?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист (С++), в офис г. Омск",НПЦ Динамика,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/120752325?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# developer,WiseTech,"от 250 000 ₽ за месяц, на руки
Опыт 3-6 лет",https://tomsk.hh.ru/vacancy/121035533?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,ОАО НЗТ,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/120589387?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,АО ИнфоТеКС,"Опыт 3-6 лет
Можно удалённо",https://tomsk.hh.ru/vacancy/121222760?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Python (Стажер),Центр финансовых технологий,Без опыта,https://tomsk.hh.ru/vacancy/120308107?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С,ООО Софт Инжиниринг,"до 250 000 ₽ за месяц, на руки
Опыт 1-3 года
Можно удалённо
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/117885726?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С (Системный аналитик),ООО Лидерпак,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/120762211?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик мобильных приложений под iOS и Android,ООО Первая Свободная Платформа Легальной Музыки,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/120802126?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Python-разработчик Middle (LLM SOLUTIONS & AI INTEGRATION),AI-SOLUTIONS,"от 170 000 ₽ за месяц, на руки
Опыт 3-6 лет
Можно удалённо
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/121022808?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Java разработчик (Стажер),Центр финансовых технологий,Без опыта,https://tomsk.hh.ru/vacancy/120258293?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Team Lead Frontend / Руководитель разработки / Senior Frontend Developer (Vue.js),Экосистема тенниса MYTENNIS.ONLINE,"от 300 000 ₽ за месяц, на руки
Опыт 3-6 лет
Можно удалённо",https://tomsk.hh.ru/vacancy/120925723?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С:ERP,АО НПЦ Полюс,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/121158121?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# разработчик (WPF),Антереал,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/105285346?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик,ООО ЛЭМЗ-Т,"80 000 – 200 000 ₽ за месяц, на руки
Опыт 1-3 года",https://tomsk.hh.ru/vacancy/95877891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист АСУ ТП,ООО Encore,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/121220112?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик C/C++ для DSP,АО Научно-производственная фирма Микран,"60 000 – 80 000 ₽ за месяц, на руки
Опыт 1-3 года",https://tomsk.hh.ru/vacancy/121071015?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++ middle/senior,АО Научно-производственная фирма Микран,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/121071395?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1 категории,АО Научно-производственная фирма Микран,"82 000 – 170 000 ₽ за месяц, до вычета налогов
Опыт 3-6 лет",https://tomsk.hh.ru/vacancy/121071037?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Тестировщик 1С /QA 1С,ООО МАГ Девелопмент,Без опыта,https://tomsk.hh.ru/vacancy/120733899?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист,АО Научно-производственная фирма Микран,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/121071023?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Frontend-разработчик (Vue),Антереал,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/118065704?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С в IT-компанию,ООО ИЦ КонсультантЪ,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/93180931?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Технический писатель для Yandex Cloud,Яндекс Крауд: Качество продуктов,"от 80 000 ₽ за месяц, на руки
Опыт 1-3 года
Можно удалённо",https://tomsk.hh.ru/vacancy/121203073?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист по тестированию ПО,ООО СистемоСинтез,"60 000 – 80 000 ₽ за месяц, до вычета налогов
Опыт 1-3 года
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/120307577?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик чат-ботов и голосовых помощников на платформе JAICP (проект Чат-Боты),ООО Совкомбанк Технологии,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/120570197?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Oracle (PL/SQL),ООО Совкомбанк Технологии,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/121151184?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Руководитель группы / группа программного обеспечения,Газпром межрегионгаз,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/121196853?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
